Article Number,Barcode,Name,Category,Buying Price,Sale Price,Crates Per Pallet,Total Pallets,Total Crates,Status
ART-137,18850389106294,mogu mogu coconut ,Soft Drinks,20.00,23.99,24,1,0,active
ART-136,18850389101886,mogu mogu pineapple ,Soft Drinks,20.00,23.99,24,1,0,active
ART-135,18850389108182,mogu mogu lychee,Soft Drinks,20.00,23.99,24,1,0,active
ART-134,18850389111366,mogu mogu melon ,Soft Drinks,20.00,23.99,24,1,0,active
ART-133,18850389101855,mogu mogu strawberry ,Soft Drinks,20.00,23.99,24,1,0,active
ART-132,18850389106317,mogu mogu Peach,Soft Drinks,20.00,23.99,24,1,0,active
ART-131,18850389118884,mogu mogu cotton candy,Soft Drinks,20.00,23.99,24,1,0,active
ART-130,18850389108458,mogu mogu grape,Soft Drinks,20.00,23.99,24,1,0,active
ART-129,18850389117108,mogu mogu watermelon,Soft Drinks,20.00,23.99,24,1,0,active
ART-128,18850389118860,mogu mogu bubulgum,Soft Drinks,20.00,23.99,24,1,0,active
ART-127,18850389116491,mogu mogu Rasberry ,Soft Drinks,20.00,23.99,24,1,0,active
ART-126,5410263917581,Maes 33cl,Beer,1.00,1.00,24,0,0,active
ART-124,5410263916300,Maes 50cl,Beer,1.00,1.00,24,0,0,active
ART-119,5410228223573,Leffe Blonde 50cl,Beer,1.00,1.00,24,0,0,active
ART-112,0590274664089,WARKA RED 50cl,Beer,1.00,1.00,24,0,0,active
ART-120,5410228262510,JUPILER 0.0% 33cl ,Beer,1.00,1.00,24,1,0,active
ART-110,5410228222262,Leffe Bruin 50cl,Beer,1.00,1.00,24,0,0,active
ART-95,8712000058944,HEINEKEN NL 33CL CANS 6 Packs,Beer,1.00,1.00,24,0,0,active
ART-108,,VODY ENERGY 22%,Mixers,10.00,12.00,120,9,115,active
ART-107,,VODY LEMON 18%,Mixers,57.00,65.00,120,0,0,active
ART-106,,VODY ENERGY 18%,Mixers,57.00,65.00,120,0,0,active
ART-105,,VODY TROPICAL,Mixers,57.00,65.00,120,0,0,active
ART-104,5010677783477,WILLIAM LAWSON COLA 33cl,Mixers,26.00,29.50,189,1,0,active
ART-103,5010677783491,WILLIAM LAWSON COLA,Mixers,37.50,42.00,120,0,0,active
ART-102,05410316958691,SMIRNOFF ICE TROPICAL,Mixers,1.00,1.00,240,0,0,active
ART-101,,SMIRNOFF ICE RASPBERRY,Mixers,0.00,0.00,240,0,0,active
ART-100,8711300999728,SMIRNOFF ICE,Mixers,1.00,1.00,240,0,0,active
ART-099,,MALIBU PINEAPPLE,Mixers,0.00,0.00,240,0,0,active
ART-098,,MALIBU PINA COLADA,Mixers,0.00,0.00,240,0,0,active
ART-097,,MALIBU PEAR,Mixers,0.00,0.00,240,0,0,active
ART-096,,MALIBU COLA,Mixers,0.00,0.00,240,0,0,active
ART-095,,JACK DANIELS COCA COLA,Mixers,0.00,0.00,180,0,0,active
ART-094,8711300999711,J&B RARE COLA 12,Mixers,1.00,1.00,239,0,0,active
ART-093,,J&B RARE COLA 24,Mixers,1.00,1.00,120,0,0,active
ART-092,,GORDONS TONIC,Mixers,0.00,0.00,240,0,0,active
ART-091,,GORDONS TONIC,Mixers,0.00,0.00,120,0,0,active
ART-090,,GORDONS PINK TONIC,Mixers,0.00,0.00,240,0,0,active
ART-089,07610113018163,ERISTOFF PINK,Mixers,1.00,1.00,240,0,0,active
ART-088,07610113030059,ERISTOFF PASSION,Mixers,1.00,1.00,240,0,0,active
ART-087,07610113029374,ERISTOFF ORANGE,Mixers,1.00,1.00,240,0,0,active
ART-086,07610113029312,ERISTOFF ICE LEMON,Mixers,1.00,1.00,240,0,0,active
ART-085,5010677801881,ERISTOFF FLASH 33cl,Mixers,1.00,1.00,189,0,0,active
ART-084,05010677801843,ERISTOFF FLASH 25 cl,Mixers,1.00,1.00,120,0,0,active
ART-083,,ERISTOFF BLUE BTL,Mixers,0.00,0.00,66,0,0,active
ART-082,,ERISTOFF BLUE,Mixers,0.00,0.00,240,0,0,active
ART-081,8711300999636,CAPTAIN WHITE MOJITO,Mixers,1.00,1.00,240,0,0,active
ART-080,8711300999629,CAPTAIN MORGAN COLA 12,Mixers,1.00,1.00,240,0,0,active
ART-079,8711300999612,CAPTAIN MORGAN COLA 24,Mixers,1.00,1.00,120,0,0,active
ART-078,,BOMBAY SAPHIRE TONIC,Mixers,0.00,0.00,240,0,0,active
ART-077,,BACARDI SUNSET PUNCH,Mixers,0.00,0.00,240,0,0,active
ART-076,,BACARDI MANGO,Mixers,0.00,0.00,240,0,0,active
ART-075,07610113020609,BACARDI RAZZ,Mixers,1.00,1.00,240,0,0,active
ART-074,05010677840101,BACARDI MOJITO,Mixers,1.00,1.00,240,0,0,active
ART-073,07610113010709,BACARDI LIMON,Mixers,1.00,1.00,240,0,0,active
